element_size,nx,ny,dofs_t3,error_t3,dofs_t6,error_t6,dofs_q4,error_q4,dofs_q8,error_q8,dofs_q9,error_q9
0.2,13,1,56,-76.74673499023031,162,-0.5309244584917299,56,-31.162603096004858,136,-0.5354316054265668,162,-0.5354316054265668
0.17082629933755134,15,2,96,-57.780862432553135,310,-0.22173149833275269,96,-22.770924312434786,250,-0.18423533083355523,310,-0.18423533083355523
0.14590812272681344,18,2,114,-52.95788910075678,370,-0.16295439374007764,114,-17.5376710242773,298,-0.13515540558379205,370,-0.13515540558379205
0.12462472324355402,21,2,132,-49.471172267338794,430,-0.12403778782641213,132,-14.020071849275272,346,-0.10185674084593846,430,-0.10185674084593846
0.10644590138831424,24,2,150,-46.91409170797955,490,-0.09673908280342378,150,-11.568796288943824,394,-0.0779987567357846,490,-0.0779987567357846
0.09091879706907821,28,3,232,-32.68539517883681,798,-0.0412995876622425,232,-8.18556246756449,630,-0.021526465400008635,798,-0.021526465400008635
0.07765660821766215,33,3,272,-29.627666299798346,938,-0.01965590063716203,272,-6.311069671416024,740,-0.005131777930837092,938,-0.005131777930837092
0.06632895500464651,38,4,390,-21.21677352526512,1386,0.0058841836301951654,390,-4.6423116418274395,1082,0.019808536732551812,1386,0.019808536732551812
0.05665364961185359,45,4,460,-18.911406272382745,1638,0.020500271781568644,460,-3.520931934193184,1278,0.030607010300777806,1638,0.030607010300777806
0.048389666535796245,52,5,636,-13.735640801939134,2310,0.03648117155195969,636,-2.588366538112794,1790,0.04610083614447503,2310,0.04610083614447503
0.041331138302441096,61,5,744,-12.340669119085549,2706,0.04569592424778673,744,-1.992482883338195,2096,0.05316187699462221,2706,0.05316187699462221
0.03530222701807266,71,6,1008,-9.084516172613725,3718,0.05710696761102635,1008,-1.448900972545163,2866,0.06428803010550654,3718,0.06428803010550654
0.030152743999357356,83,7,1344,-6.82630520067598,5010,0.0665809657228651,1344,-1.0502390089504272,3848,0.07344866038181311,5010,0.07344866038181311
0.02575440836141387,98,8,1782,-5.189078257134612,6698,0.07490332064048748,1782,-0.7476971469809762,5130,0.08143184740350931,6698,0.08143184740350931
0.021997651360042104,114,10,2530,-3.5476421101155133,9618,0.08334210299528384,2530,-0.5180495277494567,7338,0.09015855081476688,9618,0.09015855081476688
0.018788886879768225,134,11,3240,-2.8029420003880223,12374,0.08939629489569619,3240,-0.36471403313439804,9426,0.09588496808353877,12374,0.09588496808353877
0.016048180071713387,156,13,4396,-2.0281273773906108,16902,0.09577768703646455,4396,-0.24474857069552852,12846,0.10234089059426177,16902,0.10234089059426177
0.013707256063767185,183,15,5888,-1.496132484223181,22754,0.10159534601473597,5888,-0.15446712487083655,17264,0.10811861934415358,22754,0.10811861934415358
0.011707799137227793,214,18,8170,-1.0413649563985838,31746,0.10752882578857761,8170,-0.08464909530035471,24042,0.11417530287177215,31746,0.11417530287177215
0.01,250,20,10542,-0.7979763864137904,41082,0.11219243464644295,10542,-0.03746170559174037,31082,0.11869144284033467,41082,0.11869144284033467
